"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Dead Epithelial Cells","# Free Virions","# Innate Immune Cells","# Specialised Immune Cells","# Agents In Total"
99.1,69695,3564,90305,6542,138947,115593,421082
100.1,70467,3535,89533,6272,133721,116266,416259
101.1,71168,3471,88832,6090,128181,117008,411279
102.1,71882,3331,88118,5949,122480,117735,406164
103.1,72606,3252,87394,5674,116767,118430,400871
104.1,73433,3171,86567,5617,110885,119073,395575
105.1,74265,3044,85735,5439,104842,119765,390046
106.1,75047,2942,84953,5266,98802,120426,384494
107.1,75931,2839,84069,5137,92796,121051,378984
108.1,76796,2731,83204,4979,87014,121677,373670
109.1,77749,2727,82251,4921,81355,122230,368506
110.1,78674,2699,81326,4732,75972,122810,363514
111.1,79580,2643,80420,4498,70808,123384,358690
112.1,80558,2578,79442,4313,65888,123938,354139
113.1,81571,2519,78429,4177,61188,124475,349840
114.1,82499,2456,77501,4000,56772,124994,345766
115.1,83377,2368,76623,3828,52677,125553,342058
116.1,84330,2302,75670,3679,48679,126076,338434
117.1,85323,2219,74677,3540,45124,126606,335270
118.1,86325,2233,73675,3468,41743,127068,332279
119.1,87383,2207,72617,3365,38818,127536,329719
120.1,88379,2190,71621,3373,36093,128010,327476
121.1,89376,2136,70624,3353,33517,128490,325360
122.1,90437,2153,69563,3277,31260,128926,323463
123.1,91478,2095,68522,3319,29209,129400,321928
124.1,92542,2071,67458,3184,27282,129843,320309
125.1,93592,2047,66408,3149,25593,130279,319021
126.1,94611,2003,65389,3104,24084,130726,317914
